Year,1,2,3,4
2013,1013,1120,385,1014
2014,1018,1115,377,982
2015,1017,1100,392,979
2016,1054,1119,412,997
2017,1054,1119,436,989
2018,1090,1193,416,1013
2019,1109,1244,444,1031
2020,1113,1279,461,1061
