Crops,Water requirement,Optimum Salinity,Revenue,Sources,Cost,Quantity,Salinity
Capsicum,14000,1.5,8744.725,A ,0.25,6889871.667,1.8
Melon,6000,1,3615.4171,,,,
Onion,6700,1.2,9007.1426,,,,
Almonds,7000,1.5,3567.456,,,,
Pomegranate,7500,1.8,9940.0304,,,,
Potato,7000,1.7,7460.42,,,,
Mango,8700,1.3,11615.55,,,,
Dates,12000,4,6801.4382,,,,
